timestamp,user_message,category,priority,explanation
2026-04-14T03:13:20.669399,"Не могу войти в личный кабинет, ошибка 404",access,high,Пользователь не может войти в личный кабинет
2026-05-03T18:51:17.707780,Деньги ушли но нет статус подтверждено,other,low,Ошибка: нет подключения к интернету или Yandex Cloud недоступен.
2026-05-03T18:54:17.257840,"Не могу войти в личный кабинет, ошибка 404",other,low,Ошибка: нет подключения к интернету или Yandex Cloud недоступен.
2026-05-03T19:03:01.494584,"Не могу войти в личный кабинет, ошибка 404",other,low,Ошибка: нет подключения к интернету или Yandex Cloud недоступен.
2026-05-03T19:17:36.558097,Ошибка 404,other,low,Ошибка: нет подключения к интернету или Yandex Cloud недоступен.
2026-05-03T19:17:53.474479,"Не могу войти в личный кабинет, ошибка 404",other,low,Ошибка: нет подключения к интернету или Yandex Cloud недоступен.
2026-05-03T19:39:31.758694,"Не могу войти в личный кабинет, ошибка 300",other,low,Ошибка: нет подключения к интернету или Yandex Cloud недоступен.
2026-05-03T19:40:46.485442,"Не могу войти в личный кабинет, ошибка 300",other,low,Ошибка: нет подключения к интернету или Yandex Cloud недоступен.
2026-05-03T19:40:51.179861,"Не могу войти в личный кабинет, ошибка 300",other,low,Ошибка: нет подключения к интернету или Yandex Cloud недоступен.
2026-05-03T19:50:15.884150,"Не могу войти в личный кабинет, ошибка 300",other,low,Ошибка: нет интернета
2026-05-03T20:46:10.549487,"Не могу войти в личный кабинет, ошибка 300",other,low,Ошибка: нет интернета
2026-05-22T20:59:22.875251,"Не могу войти в личный кабинет, ошибка 300",bug,high,Ошибка входа в личный кабинет
